comparison_key,raw_naics_examples_left,source_row_count_left,comparison_title_left,covered_employment_2024_left,occupation_count_left,karpathy_score_left,variant_left,comparison_level_left,source_file_left,karpathy_zscore_left,karpathy_percentile_left,raw_naics_examples_right,source_row_count_right,comparison_title_right,covered_employment_2024_right,occupation_count_right,karpathy_score_right,variant_right,comparison_level_right,source_file_right,karpathy_zscore_right,karpathy_percentile_right,comparison_title
3212,321200,1,"Veneer, plywood, and engineered wood product manufacturing",22400,44,4.9161,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.13128309600831228,0.4946236559139785,321200,1,"Veneer, plywood, and engineered wood product manufacturing",22400,44,5.2143,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.10396875638381227,0.46236559139784944,"Veneer, plywood, and engineered wood product manufacturing"
3219,321900,1,Other wood product manufacturing,75500,66,4.5136,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.4064758436679041,0.3602150537634409,321900,1,Other wood product manufacturing,75500,66,4.7073,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.4593664090901751,0.3172043010752688,Other wood product manufacturing
3221,322100,1,"Pulp, paper, and paperboard mills",28800,55,4.8861,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.1517943567034373,0.4838709677419355,322100,1,"Pulp, paper, and paperboard mills",28800,55,4.9444,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.29316368037877744,0.41935483870967744,"Pulp, paper, and paperboard mills"
3222,322200,1,Converted paper product manufacturing,75100,61,5.5726,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.31757165887000377,0.6612903225806451,322200,1,Converted paper product manufacturing,75100,61,5.7976,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.30491378961938637,0.6612903225806451,Converted paper product manufacturing
3254,325400,1,Pharmaceutical and medicine manufacturing,183600,100,6.2659,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.7915868935343393,0.7741935483870968,325400,1,Pharmaceutical and medicine manufacturing,183600,100,6.3426,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.6869487417396386,0.7473118279569892,Pharmaceutical and medicine manufacturing
3261,326100,1,Plastics product manufacturing,208300,82,5.3622,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.17371935052819415,0.6236559139784946,326100,1,Plastics product manufacturing,208300,82,5.4297,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.04702267239912828,0.5591397849462365,Plastics product manufacturing
3262,326200,1,Rubber product manufacturing,40000,59,5.3803,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.18609447781425312,0.6344086021505376,326200,1,Rubber product manufacturing,40000,59,5.545,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.12784584667337578,0.6075268817204301,Rubber product manufacturing
3311,331100,1,Iron and steel mills and ferroalloy manufacturing,30500,53,4.5213,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.4012112867561555,0.3655913978494624,331100,1,Iron and steel mills and ferroalloy manufacturing,30500,53,4.6557,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.49553705776798224,0.3118279569892473,Iron and steel mills and ferroalloy manufacturing
3312,331200,1,Steel product manufacturing from purchased steel,23400,47,4.859,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.17032286219803336,0.478494623655914,331200,1,Steel product manufacturing from purchased steel,23400,47,4.9957,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.25720332617002684,0.43010752688172044,Steel product manufacturing from purchased steel
3313,331300,1,Alumina and aluminum production and processing,22300,51,4.7691,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.2317882734144243,0.45698924731182794,331300,1,Alumina and aluminum production and processing,22300,51,4.8296,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.3736363638712634,0.3655913978494624,Alumina and aluminum production and processing
