naics_code,title,industry_type,naics_level,is_sector,covered_employment_2024,occupation_count,weighted_exposure
481100,Scheduled air transportation,Line Item,4,False,261400,52,4.4805
321100,Sawmills and wood preservation,Line Item,4,False,26200,40,4.4733
811400,Personal and household goods repair and maintenance,Line Item,4,False,35200,43,4.4574
488200,Support activities for rail transportation,Line Item,4,False,18600,38,4.4032
624300,Vocational rehabilitation services,Line Item,4,False,201100,90,4.3287
532100,Automotive equipment rental and leasing,Line Item,4,False,93500,45,4.2364
336600,Ship and boat building,Line Item,4,False,78700,73,4.2313
621200,Offices of dentists,Line Item,4,False,978300,33,4.198
236200,Nonresidential building construction,Line Item,4,False,668800,97,4.1882
212200,Metal ore mining,Line Item,4,False,24100,58,4.1701
312100,Beverage manufacturing,Line Item,4,False,157000,76,4.1573
813400,Civic and social organizations,Line Item,4,False,264400,90,4.138
485400,School and employee bus transportation,Line Item,4,False,158600,23,4.1362
562900,Remediation and other waste management services,Line Item,4,False,110400,70,4.1187
336200,Motor vehicle body and trailer manufacturing,Line Item,4,False,70400,64,4.0895
811300,Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance,Line Item,4,False,165000,75,4.063
488300,Support activities for water transportation,Line Item,4,False,45800,39,4.0066
311600,Animal slaughtering and processing,Line Item,4,False,136100,72,3.964
721200,RV (recreational vehicle) parks and recreational camps,Line Item,4,False,44000,39,3.9545
487200,"Scenic and sightseeing transportation, water",Line Item,4,False,11800,20,3.9153
236100,Residential building construction,Line Item,4,False,712900,86,3.8531
623900,Other residential care facilities,Line Item,4,False,137900,72,3.7861
459300,Florists,Line Item,4,False,35000,22,3.7429
713900,Other amusement and recreation industries,Summary,4,False,934700,119,3.6738
212100,Coal mining,Line Item,4,False,18400,32,3.6685
811100,Automotive repair and maintenance,Summary,4,False,744300,58,3.6651
721100,Traveler accommodation,Summary,4,False,696300,105,3.6105
483200,Inland water transportation,Line Item,4,False,22600,22,3.5221
311800,Bakeries and tortilla manufacturing,Line Item,4,False,186800,61,3.5123
812900,Other personal services,Line Item,4,False,256500,58,3.4565
623200,"Residential intellectual and developmental disability, mental health, and substance abuse facilities",Summary,4,False,598800,90,3.4208
113300,Logging,Line Item,4,False,33400,11,3.4162
238200,Building equipment contractors,Summary,4,False,1885000,105,3.41
722300,Special food services,Line Item,4,False,553500,62,3.3899
238900,Other specialty trade contractors,Line Item,4,False,566700,80,3.3815
237900,Other heavy and civil engineering construction,Line Item,4,False,101500,64,3.3596
237300,"Highway, street, and bridge construction",Line Item,4,False,280500,65,3.313
624400,Child daycare services,Line Item,4,False,1026000,69,3.2853
623100,Nursing care facilities (skilled nursing facilities),Line Item,4,False,1256300,92,3.246
561200,Facilities support services,Line Item,4,False,128500,107,3.2125
237100,Utility system construction,Summary,4,False,419800,89,3.1963
721300,"Rooming and boarding houses, dormitories, and workers' camps",Line Item,4,False,3700,12,3.1622
623300,Continuing care retirement communities and assisted living facilities for the elderly,Line Item,4,False,772700,84,3.0537
238100,"Foundation, structure, and building exterior contractors",Summary,4,False,642800,78,3.0316
624100,Individual and family services,Summary,4,False,3056100,129,2.9689
621600,Home healthcare services,Line Item,4,False,1670600,85,2.952
812100,Personal care services,Line Item,4,False,648200,33,2.8945
238300,Building finishing contractors,Summary,4,False,640700,69,2.6757
722400,Drinking places (alcoholic beverages),Line Item,4,False,322000,27,2.5823
561700,Services to buildings and dwellings,Summary,4,False,1827500,55,1.7521
