naics_code,title,industry_type,naics_level,is_sector,covered_employment_2024,occupation_count,weighted_exposure
621200,Offices of dentists,Line Item,4,False,978300,33,3.8139
561600,Investigation and security services,Summary,4,False,821400,62,3.7776
811100,Automotive repair and maintenance,Summary,4,False,744300,58,3.5863
238200,Building equipment contractors,Summary,4,False,1885000,105,3.543
488300,Support activities for water transportation,Line Item,4,False,45800,39,3.4797
623900,Other residential care facilities,Line Item,4,False,137900,72,3.4635
237900,Other heavy and civil engineering construction,Line Item,4,False,101500,64,3.4477
812900,Other personal services,Line Item,4,False,256500,58,3.4423
713900,Other amusement and recreation industries,Summary,4,False,934700,119,3.4226
311800,Bakeries and tortilla manufacturing,Line Item,4,False,186800,61,3.4063
561200,Facilities support services,Line Item,4,False,128500,107,3.4044
487200,"Scenic and sightseeing transportation, water",Line Item,4,False,11800,20,3.3814
721100,Traveler accommodation,Summary,4,False,696300,105,3.3623
238900,Other specialty trade contractors,Line Item,4,False,566700,80,3.3381
113300,Logging,Line Item,4,False,33400,11,3.332
237100,Utility system construction,Summary,4,False,419800,89,3.3109
212100,Coal mining,Line Item,4,False,18400,32,3.3033
237300,"Highway, street, and bridge construction",Line Item,4,False,280500,65,3.2766
238100,"Foundation, structure, and building exterior contractors",Summary,4,False,642800,78,3.1785
459300,Florists,Line Item,4,False,35000,22,3.1414
721300,"Rooming and boarding houses, dormitories, and workers' camps",Line Item,4,False,3700,12,3.073
623200,"Residential intellectual and developmental disability, mental health, and substance abuse facilities",Summary,4,False,598800,90,3.0488
238300,Building finishing contractors,Summary,4,False,640700,69,3.0377
722300,Special food services,Line Item,4,False,553500,62,3.0221
485400,School and employee bus transportation,Line Item,4,False,158600,23,2.9455
481100,Scheduled air transportation,Line Item,4,False,261400,52,2.878
483200,Inland water transportation,Line Item,4,False,22600,22,2.8345
623300,Continuing care retirement communities and assisted living facilities for the elderly,Line Item,4,False,772700,84,2.7186
624100,Individual and family services,Summary,4,False,3056100,129,2.716
623100,Nursing care facilities (skilled nursing facilities),Line Item,4,False,1256300,92,2.7047
624400,Child daycare services,Line Item,4,False,1026000,69,2.5809
621600,Home healthcare services,Line Item,4,False,1670600,85,2.5782
561700,Services to buildings and dwellings,Summary,4,False,1827500,55,2.5209
812100,Personal care services,Line Item,4,False,648200,33,2.4347
722400,Drinking places (alcoholic beverages),Line Item,4,False,322000,27,2.2517
