variant,soc4,title,karpathy_score,num_jobs_2024,occupation_count,karpathy_zscore,karpathy_percentile,comparison_key,comparison_level_left,raw_code_examples,raw_title_examples,source_row_count,metric_value,metric_name,comparison_level_right,source_file,sheet_name,metric_zscore,metric_percentile,comparison_title
repo_gabriel,25-20,Kindergarten and elementary school teachers,4.2645187788071,4382600.0,5,-0.16488706545442147,0.5227272727272727,25-20,soc4,25-2011.00 | 25-2012.00 | 25-2021.00 | 25-2022.00 | 25-2023.00,"Preschool Teachers, Except Special Education | Kindergarten Teachers, Except Special Education | Elementary School Teachers, Except Special Education | Middle School Teachers, Except Special and Career/Technical Education | Career/Technical Education Teachers, Middle School",11,0.3564728427272727,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.268459043543997,0.4074074074074074,Kindergarten and elementary school teachers
repo_gabriel,25-30,Tutors,6.268096723868955,256400.0,2,0.7288888796131451,0.6704545454545454,25-30,soc4,25-3011.00 | 25-3021.00 | 25-3099.02,Adult Basic and Secondary Education and Literacy Teachers and Instructors | Self-Enrichment Education Teachers | Tutors,3,0.41305087,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.024531611383839427,0.5462962962962963,Tutors
repo_gabriel,25-40,Library technicians and assistants,6.352692530399537,345400.0,3,0.7666262170184487,0.6818181818181818,25-40,soc4,25-4011.00 | 25-4012.00 | 25-4013.00 | 25-4021.00 | 25-4031.00,Archivists | Curators | Museum Technicians and Conservators | Librarians | Library Technicians,5,0.2192249931999999,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.9792002846020186,0.18518518518518517,Library technicians and assistants
repo_gabriel,25-90,Teacher assistants,3.7041923402198864,1655400.0,2,-0.41484304716651305,0.45454545454545453,25-90,soc4,25-9011.00 | 25-9021.00 | 25-9031.00 | 25-9031.01 | 25-9041.00,Audio-Visual and Multimedia Collections Specialists | Farm and Home Management Advisors | Instructional Coordinators | Instructional Designers and Technologists | Teacher Assistants,5,0.33227755,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.39375494027370694,0.3611111111111111,Teacher assistants
repo_gabriel,27-10,Graphic designers,7.262498284145504,728500.0,9,1.1724814019322094,0.8295454545454546,27-10,soc4,27-1011.00 | 27-1012.00 | 27-1013.00 | 27-1014.00 | 27-1021.00,"Art Directors | Craft Artists | Fine Artists, Including Painters, Sculptors, and Illustrators | Multimedia Artists and Animators | Commercial and Industrial Designers",11,0.4637775063636363,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.2872206998320016,0.6481481481481481,Graphic designers
repo_gabriel,27-20,Coaches and scouts,4.401369863013699,803000.0,8,-0.10383917489356917,0.5454545454545454,27-20,soc4,27-2011.00 | 27-2012.01 | 27-2012.02 | 27-2012.03 | 27-2012.04,"Actors | Producers | Directors- Stage, Motion Pictures, Television, and Radio | Program Directors | Talent Directors",15,0.3002113129333333,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.5598107087780768,0.2962962962962963,Coaches and scouts
repo_gabriel,27-30,Public relations specialists,7.963690550105551,805300.0,8,1.4852762107027568,0.9318181818181818,27-30,soc4,27-3011.00 | 27-3012.00 | 27-3021.00 | 27-3022.00 | 27-3031.00,Radio and Television Announcers | Public Address System and Other Announcers | Broadcast News Analysts | Reporters and Correspondents | Public Relations Specialists,10,0.1841147896,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.1610193059303275,0.12962962962962962,Public relations specialists
repo_gabriel,27-40,Photographers,5.8230646871686105,377200.0,3,0.5303645695569598,0.6363636363636364,27-40,soc4,27-4011.00 | 27-4012.00 | 27-4013.00 | 27-4014.00 | 27-4021.00,Audio and Video Equipment Technicians | Broadcast Technicians | Radio Operators | Sound Engineering Technicians | Photographers,7,0.5419632314285714,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.6921073298016089,0.8055555555555556,Photographers
repo_gabriel,29-10,Pharmacists,4.521191509323326,852700.0,7,-0.05038794509046188,0.5568181818181818,29-10,soc4,29-1011.00 | 29-1021.00 | 29-1022.00 | 29-1023.00 | 29-1024.00,"Chiropractors | Dentists, General | Oral and Maxillofacial Surgeons | Orthodontists | Prosthodontists",30,0.3863797074666666,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.11358563580577681,0.4722222222222222,Pharmacists
repo_gabriel,29-11,Registered nurses,2.83058238969569,4689300.0,11,-0.8045516487582961,0.3522727272727273,29-11,soc4,29-1122.00 | 29-1122.01 | 29-1123.00 | 29-1124.00 | 29-1125.00,"Occupational Therapists | Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists | Physical Therapists | Radiation Therapists | Recreational Therapists",23,0.4871506369565218,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.4082590104664978,0.6851851851851852,Registered nurses
repo_gabriel,29-20,Licensed practical and licensed vocational nurses,3.569798183296222,2829300.0,14,-0.4747949272079451,0.4318181818181818,29-20,soc4,29-2011.00 | 29-2011.01 | 29-2011.02 | 29-2011.03 | 29-2012.00,Medical and Clinical Laboratory Technologists | Cytogenetic Technologists | Cytotechnologists | Histotechnologists and Histologic Technicians | Medical and Clinical Laboratory Technicians,28,0.45789311375,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.25674823324331797,0.6296296296296297,Licensed practical and licensed vocational nurses
repo_gabriel,29-90,Surgical assistants and technologists,3.268297101449275,220800.0,4,-0.6092915236746871,0.375,29-90,soc4,29-9011.00 | 29-9012.00 | 29-9091.00 | 29-9092.00 | 29-9099.01,Occupational Health and Safety Specialists | Occupational Health and Safety Technicians | Athletic Trainers | Genetic Counselors | Midwives,5,0.36317001,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.23377760412337065,0.42592592592592593,Surgical assistants and technologists
repo_gabriel,31-20,Physical therapist assistants and aides,2.2514420803782507,211500.0,2,-1.0629003087456355,0.18181818181818182,31-20,soc4,31-2011.00 | 31-2012.00 | 31-2021.00 | 31-2022.00,Occupational Therapy Assistants | Occupational Therapy Aides | Physical Therapist Assistants | Physical Therapist Aides,4,0.2910931025,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.6070295775759281,0.28703703703703703,Physical therapist assistants and aides
repo_gabriel,31-90,Medical assistants,3.3259459784635745,1662300.0,6,-0.5835749401683995,0.3977272727272727,31-90,soc4,31-9011.00 | 31-9091.00 | 31-9092.00 | 31-9093.00 | 31-9094.00,Massage Therapists | Dental Assistants | Medical Assistants | Medical Equipment Preparers | Medical Transcriptionists,10,0.2259018057,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.944624252854295,0.19444444444444445,Medical assistants
repo_gabriel,33-20,Firefighters,1.592248275862069,362500.0,2,-1.356960026794661,0.011363636363636364,33-20,soc4,33-2011.01 | 33-2011.02 | 33-2021.01 | 33-2021.02 | 33-2022.00,Municipal Firefighters | Forest Firefighters | Fire Inspectors | Fire Investigators | Forest Fire Inspectors and Prevention Specialists,5,0.4117360734,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.01772290603478275,0.5370370370370371,Firefighters
repo_gabriel,33-30,Police and detectives,2.3363171977621016,1233300.0,2,-1.0250383735813762,0.19318181818181818,33-30,soc4,33-3011.00 | 33-3012.00 | 33-3021.01 | 33-3021.02 | 33-3021.03,Bailiffs | Correctional Officers and Jailers | Police Detectives | Police Identification and Records Officers | Criminal Investigators and Special Agents,12,0.4220133369166667,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.07094395869007061,0.5648148148148148,Police and detectives
repo_gabriel,33-90,Security guards and gambling surveillance officers,3.4927659574468084,1316000.0,2,-0.5091582274373715,0.4090909090909091,33-90,soc4,33-9011.00 | 33-9021.00 | 33-9031.00 | 33-9032.00 | 33-9091.00,Animal Control Workers | Private Detectives and Investigators | Gaming Surveillance Officers and Gaming Investigators | Security Guards | Crossing Guards,8,0.37730307875,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.1605891726985321,0.4444444444444444,Security guards and gambling surveillance officers
repo_gabriel,35-10,Chefs and head cooks,2.6,197300.0,1,-0.9074121308144812,0.3068181818181818,35-10,soc4,35-1011.00 | 35-1012.00,Chefs and Head Cooks | First-Line Supervisors of Food Preparation and Serving Workers,2,0.39607833,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.06336108919439339,0.49074074074074076,Chefs and head cooks
repo_gabriel,35-20,Cooks,2.175654026646529,3707800.0,2,-1.0967085963222936,0.125,35-20,soc4,35-2011.00 | 35-2012.00 | 35-2013.00 | 35-2014.00 | 35-2015.00,"Cooks, Fast Food | Cooks, Institution and Cafeteria | Cooks, Private Household | Cooks, Restaurant | Cooks, Short Order",6,0.1220167791666666,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.4825953244591359,0.05555555555555555,Cooks
repo_gabriel,35-30,Food and beverage serving and related workers,2.344065541456203,8117000.0,3,-1.021581915486011,0.20454545454545456,35-30,soc4,35-3011.00 | 35-3021.00 | 35-3022.00 | 35-3022.01 | 35-3031.00,"Bartenders | Combined Food Preparation and Serving Workers, Including Fast Food | Counter Attendants, Cafeteria, Food Concession, and Coffee Shop | Baristas | Waiters and Waitresses",6,0.1209645223333333,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.4880444614052595,0.046296296296296294,Food and beverage serving and related workers
