naics_code,title,industry_type,naics_level,is_sector,covered_employment_2024,occupation_count,weighted_exposure
237300,"Highway, street, and bridge construction",Line Item,4,False,280500,65,3.6403
721300,"Rooming and boarding houses, dormitories, and workers' camps",Line Item,4,False,3700,12,3.5676
483200,Inland water transportation,Line Item,4,False,22600,22,3.5575
623200,"Residential intellectual and developmental disability, mental health, and substance abuse facilities",Summary,4,False,598800,90,3.5449
237100,Utility system construction,Summary,4,False,419800,89,3.5441
311800,Bakeries and tortilla manufacturing,Line Item,4,False,186800,61,3.5273
812900,Other personal services,Line Item,4,False,256500,58,3.4955
623100,Nursing care facilities (skilled nursing facilities),Line Item,4,False,1256300,92,3.4566
113300,Logging,Line Item,4,False,33400,11,3.4521
238100,"Foundation, structure, and building exterior contractors",Summary,4,False,642800,78,3.2186
238300,Building finishing contractors,Summary,4,False,640700,69,3.2068
722300,Special food services,Line Item,4,False,553500,62,3.1937
623300,Continuing care retirement communities and assisted living facilities for the elderly,Line Item,4,False,772700,84,3.184
621600,Home healthcare services,Line Item,4,False,1670600,85,3.1441
624100,Individual and family services,Summary,4,False,3056100,129,3.0443
812100,Personal care services,Line Item,4,False,648200,33,2.8278
722400,Drinking places (alcoholic beverages),Line Item,4,False,322000,27,2.6143
561700,Services to buildings and dwellings,Summary,4,False,1827500,55,2.6111
