gvkey,firmgenaiexp_estz_total,firmgenaiexp_estz_core,firmgenaiexp_estz_supplemental
33272,.3755310022523479,.3023990957431061,.0731319022143171
33274,.3256080858106535,.2621993313551069,.0634087483905922
33275,.3825102937378774,.337617233559916,.0448930552769258
33279,.3052085886926398,.2520246287814601,.0531839554342757
33292,.0750000029802322,.025000000372529,.0500000007450581
33301,.3613913864837968,.3251979041475435,.0361934770898115
33308,.4322037756866118,.3665283389267538,.0656754247800384
33309,.4015168234377175,.3523273210937325,.0491894908460718
33316,.3998924113024091,.3172553409391617,.0826370689904888
33317,.3874575552910985,.3334540920463246,.0540034594670148
33318,.3732808601447449,.325017216535251,.0482636309151337
33320,.1813152480704582,.16295750354707,.0183577411072819
33321,.461550897109376,.4204904347302155,.0410604581236839
33326,.3454972855435126,.2757753675994766,.0697219138646308
33329,.3515752012079413,.2633271801539443,.0882480124180967
33330,.4059461501778658,.345631670811179,.06031446892003
33331,.3257809554600172,.2642080048524638,.0615729452660402
33332,.3257809554600174,.2642080048524639,.0615729452660402
33333,.3257809554600172,.2642080048524639,.0615729452660402
33334,.3257809554600173,.2642080048524638,.0615729452660402
33335,.3864578321779202,.3340817188788005,.052376104942072
33338,.3257809554600173,.2642080048524639,.0615729452660402
33345,.3257809554600172,.2642080048524639,.0615729452660402
33346,.3864578321779203,.3340817188788006,.052376104942072
33353,.3257809554600172,.2642080048524639,.0615729452660402
33354,.3257809554600173,.2642080048524639,.0615729452660402
33355,.3257809554600172,.2642080048524637,.0615729452660402
33356,.3257809554600173,.2642080048524639,.0615729452660402
33357,.3257809554600174,.2642080048524639,.0615729452660402
33358,.3257809554600173,.2642080048524638,.0615729452660402
33360,.3864578321779204,.3340817188788005,.052376104942072
33362,.3864578321779206,.3340817188788008,.052376104942072
33364,.3257809554600173,.2642080048524639,.0615729452660402
33365,.3257809554600174,.2642080048524639,.0615729452660402
33366,.3675154627456018,.3240071598750849,.0435082881090542
33367,.3257809554600173,.2642080048524639,.0615729452660402
33368,.3864578321779205,.3340817188788007,.052376104942072
33387,.3791949208825826,.3407010078016255,.0384939023707476
33388,.4044846714939923,.3441676253502791,.0603170395695738
33419,.3638980642735615,.3096916247135483,.0542064330538221
33420,.3741613794790255,.3254306318007948,.0487307486959647
33421,.2516837685276195,.2210853462875544,.0305984213744794
33423,.4832605988400957,.4378439784152899,.0454166128940035
33424,.3995633398049645,.3191261389292777,.0804371986804264
33428,.5386900901794434,.5146229863166809,.0240670777857304
33435,.2789669005119532,.2399813542070425,.0389855425702494
33444,.3690095739910023,.3136288940676309,.0553806703380738
33446,.4556056441608372,.4228821382974863,.0327234912088221
33449,.2785699437778075,.218831781340255,.05973815945441
33459,.3727164510160251,.2915636556922171,.0811527909006706
33480,.4095529149447685,.3519411369031943,.0576117658453394
33481,.3569243455475027,.3055367045894717,.0513876367247466
33487,.4408611178398132,.3558326154947281,.0850284837186337
33488,.4095349963235754,.3395747139947879,.0699602767766462
33506,.3257809554600171,.2642080048524638,.0615729452660402
33507,.3257809554600172,.2642080048524639,.0615729452660402
33508,.3257809554600171,.2642080048524639,.0615729452660402
