soc2010,genaiexp_estz_total,genaiexp_estz_core,genaiexp_estz_supplemental
17-2051,.33586511,.26505601,.070809096
17-2061,.3611111,.33333334,.027777778
17-2071,.45454547,.20454545,.25
17-2072,.51190478,.40476191,.10714286
17-2081,.51785713,.48214287,.035714287
17-2111,.39672363,.39672363,0
17-2112,.44070512,.4082678,.032437354
17-2121,.21666667,.21666667,0
17-2131,.42857143,.42857143,0
17-2141,.37366301,.31368133,.059981685
17-2151,.22222222,.11111111,.11111111
17-2161,.42500001,.42500001,0
17-2171,.2173913,.19565217,.021739131
17-2199,.4232505,.31946477,.10378572
17-3011,.32142857,.30357143,.017857144
17-3012,.43333334,.31666666,.11666667
17-3013,.40000001,.40000001,0
17-3019,,,
17-3021,.20833333,.16666667,.041666668
17-3022,.43333334,.2,.23333333
17-3023,.44999999,.41666666,.033333335
17-3024,.34182906,.17316341,.16866568
17-3025,.40384614,.17307693,.23076923
17-3026,.36166668,.35333335,.0083333338
17-3027,.34722221,.31388891,.033333335
17-3029,.18892221,.13613163,.052790578
17-3031,.25,.21666667,.033333335
19-1011,.3888889,.33333334,.055555556
19-1012,.46153846,.46153846,0
19-1013,.3888889,.27777779,.11111111
19-1021,.47916666,.41666666,.0625
19-1022,.2857143,.21428572,.071428575
19-1023,.2857143,.25,.035714287
19-1029,.46070075,.34602273,.11467803
19-1031,.21830066,.19368193,.024618737
19-1032,.14,.039999999,.1
19-1041,.46666667,.36666667,.1
19-1042,.4642857,.2857143,.17857143
19-1099,,,
19-2011,.44117647,.38235295,.05882353
19-2012,.63333333,.40000001,.23333333
19-2021,.46296296,.37037036,.09259259
19-2031,.34615386,.30769232,.03846154
19-2032,.375,.34375,.03125
19-2041,.52633995,.43602893,.090311006
19-2042,.421875,.171875,.25
19-2043,.36000001,.34,.02
19-2099,.375,.33333334,.041666668
19-3011,.56923079,.52499998,.04423077
19-3022,.5625,.5625,0
19-3031,.35361665,.29854712,.05506954
19-3032,.54000002,.44,.1
19-3039,.2123016,.2123016,0
19-3041,.42307693,.42307693,0
19-3051,.54000002,.54000002,0
19-3091,.40000001,.40000001,0
19-3092,.41666666,.41666666,0
19-3093,.47619048,.38095239,.095238097
19-3094,.4642857,.2857143,.17857143
19-3099,.38636363,.36363637,.022727273
19-4011,.32454684,.28939933,.035147507
19-4021,.3611111,.27777779,.083333336
19-4031,.25,.21875,.03125
19-4041,.35956848,.29041067,.069157809
19-4051,.11340852,.038220551,.075187966
19-4061,.52173913,.32608697,.19565217
19-4091,.34615386,.28846154,.057692308
19-4092,.21428572,.14285715,.071428575
19-4093,.14285715,.023809524,.11904762
19-4099,.39028654,.27705234,.1132342
21-1011,.19565217,.19565217,0
21-1012,.41176471,.27941176,.13235295
21-1013,.1875,.15625,.03125
21-1014,.12962963,.11111111,.018518519
21-1015,.20588236,.20588236,0
21-1019,,,
21-1021,.30434781,.17391305,.13043478
21-1022,.20588236,.17647059,.029411765
21-1023,.07692308,.07692308,0
21-1029,,,
21-1091,.53125,.5,.03125
21-1092,.16666667,.16666667,0
21-1093,.25,.15000001,.1
21-1094,.24137931,.034482758,.20689656
21-1099,,,
21-2011,.071428575,.071428575,0
21-2021,.31578946,.2631579,.052631579
21-2099,,,
23-1011,.38636363,.31818181,.06818182
23-1012,.52631581,.31578946,.21052632
23-1021,.5,.39285713,.10714286
23-1022,.52499998,.25,.27500001
23-1023,.11904762,.071428575,.047619049
23-2011,.5,.41666666,.083333336
23-2091,.5,.35714287,.14285715
23-2093,.47058824,.32352942,.14705883
23-2099,,,
25-1011,.47999999,.41999999,.059999999
25-1021,.30769232,.17307693,.13461539
25-1022,.33333334,.25,.083333336
25-1031,.27272728,.25,.022727273
25-1032,.27083334,.20833333,.0625
25-1041,.41304347,.41304347,0
25-1042,.2962963,.25925925,.037037037
25-1043,.44,.40000001,.039999999
25-1051,.28846154,.1923077,.096153848
25-1052,.32142857,.2857143,.035714287
25-1053,.40000001,.38,.02
25-1054,.3125,.25,.0625
25-1061,.42307693,.38461539,.03846154
25-1062,.39130434,.36956522,.021739131
25-1063,.31818181,.29545453,.022727273
25-1064,.30000001,.23999999,.059999999
25-1065,.29545453,.22727273,.06818182
25-1066,.34482759,.29310346,.05172414
25-1067,.33333334,.3125,.020833334
25-1069,,,
25-1071,.30434781,.19565217,.10869565
25-1072,.27586207,.22413793,.05172414
25-1081,.4375,.3125,.125
25-1082,.34,.31999999,.02
25-1111,.39130434,.30434781,.086956523
25-1112,.28260869,.19565217,.086956523
25-1113,.1875,.125,.0625
25-1121,.17857143,.10714286,.071428575
25-1122,.28260869,.19565217,.086956523
25-1123,.42424244,.34848484,.075757578
25-1124,.41999999,.34,.079999998
25-1125,.31999999,.28,.039999999
25-1126,.41304347,.34782609,.065217391
25-1191,.34999999,.27500001,.075000003
25-1192,.30434781,.23913044,.065217391
25-1193,.29166666,.27083334,.020833334
25-1194,.34999999,.34999999,0
25-1199,,,
25-2011,.05882353,.05882353,0
25-2012,.12162162,.12162162,0
25-2021,.11842106,.11842106,0
25-2022,.14285715,.14285715,0
25-2023,.25806451,.25806451,0
25-2031,.234375,.21875,.015625
25-2032,.18181819,.18181819,0
25-2051,.19444445,.19444445,0
25-2052,.24166667,.24166667,0
25-2053,.1875,.1875,0
25-2054,.15000001,.1375,.0125
25-2059,.15000001,.15000001,0
25-3011,.43589744,.30769232,.12820514
25-3021,.18333334,.1,.083333336
25-3099,.21565291,.20823313,.0074197897
25-4011,.46153846,.46153846,0
25-4012,.30000001,.30000001,0
25-4013,.15384616,.07692308,.07692308
25-4021,.30000001,.30000001,0
25-4031,.35714287,.17142858,.18571429
25-9011,.30000001,.30000001,0
25-9021,.26666668,.26666668,0
25-9031,.44999999,.43333334,.016666668
25-9041,.26666665,.26666665,0
25-9099,,,
27-1011,.34375,.21875,.125
27-1012,.2,.16666667,.033333335
27-1013,.046875,.03125,.015625
27-1014,.071428575,.035714287,.035714287
27-1019,,,
27-1021,.35294119,.2647059,.088235296
27-1022,.125,.1,.025
27-1023,.0625,.0625,0
27-1024,.15625,.15625,0
27-1025,.33333334,.30000001,.033333335
27-1026,.079999998,.039999999,.039999999
27-1027,.16666667,.11111111,.055555556
27-1029,,,
27-2011,.052631579,0,.052631579
27-2012,.24275362,.16811594,.074637681
27-2021,0,0,0
27-2022,.19642857,.10714286,.089285716
27-2023,.03125,0,.03125
27-2031,.035714287,.035714287,0
27-2032,0,0,0
27-2041,.21666667,.2,.016666668
27-2042,.11666667,.016666668,.1
27-2099,.2631579,.2631579,0
27-3011,.375,.25,.125
27-3012,,,
27-3021,.58333331,.58333331,0
27-3022,.58333331,.58333331,0
27-3031,.69444442,.6111111,.083333336
27-3041,.64285713,.42857143,.21428572
27-3042,.63333333,.63333333,0
27-3043,.74687499,.61562502,.13124999
27-3091,.82352942,.41176471,.41176471
27-3099,,,
27-4011,.18965517,.05172414,.13793103
27-4012,.20689656,.05172414,.15517241
27-4013,,,
27-4014,.14285715,.10714286,.035714287
27-4021,.05172414,0,.05172414
27-4031,.020833334,0,.020833334
27-4032,.086956523,.043478262,.043478262
27-4099,0,0,0
29-1011,.090909094,.090909094,0
29-1021,.1,.1,0
29-1022,0,0,0
29-1023,.050000001,.050000001,0
29-1024,0,0,0
29-1029,,,
29-1031,.2857143,.17857143,.10714286
29-1041,0,0,0
29-1051,.21428572,.16666667,.047619049
29-1061,.11111111,.083333336,.027777778
29-1062,.30769232,.26923078,.03846154
29-1063,.23684211,.18421052,.052631579
29-1064,.033333335,0,.033333335
29-1065,.20588236,.14705883,.05882353
29-1066,.375,.375,0
29-1067,.12959927,.12959927,0
29-1069,.20886436,.19490196,.013962391
29-1071,.072916672,.072916672,0
29-1081,.090909094,.090909094,0
29-1122,.15056023,.13585435,.014705882
29-1123,.041666668,.041666668,0
29-1124,.090909094,.090909094,0
29-1125,.18181819,.18181819,0
29-1126,.06818182,.06818182,0
29-1127,.29166666,.25,.041666668
29-1128,.1,.1,0
29-1129,.19,.19,0
29-1131,.13043478,.10869565,.021739131
29-1141,.18319285,.16097063,.022222223
29-1151,.083333336,.083333336,0
29-1161,.2857143,.2857143,0
29-1171,.37037036,.37037036,0
29-1181,.090909094,.090909094,0
29-1199,.19790371,.19790371,0
29-2011,.17548077,.16350161,.011979166
29-2012,.083333336,.033333335,.050000001
29-2021,.055555556,.055555556,0
29-2031,.12,.039999999,.079999998
29-2032,.075000003,.075000003,0
29-2033,.23529412,.20588236,.029411765
29-2034,.21666667,.21666667,0
29-2035,.086956523,.086956523,0
29-2041,.02878464,.02878464,0
29-2051,.15384616,.11538462,.03846154
29-2052,.35714287,.2857143,.071428575
29-2053,.125,0,.125
29-2054,.21461435,.18897332,.025641026
29-2055,.09375,.03125,.0625
29-2056,.11290322,.11290322,0
29-2057,.050000001,.050000001,0
29-2061,.13043478,.13043478,0
29-2071,.48774636,.48774636,0
29-2081,.023809524,.023809524,0
29-2091,.13333334,.13333334,0
29-2092,.13636364,.13636364,0
29-2099,.21389274,.1887188,.02517396
29-9011,.26190478,.26190478,0
29-9012,.26923078,.21153846,.057692308
29-9091,.065217391,.065217391,0
29-9092,.44736841,.44736841,0
29-9099,.060570512,.060570512,0
31-1011,.06666667,.06666667,0
31-1013,.088235296,.029411765,.05882353
31-1014,.030303031,.030303031,0
31-1015,0,0,0
31-2011,.13636364,.13636364,0
31-2012,.06666667,.06666667,0
31-2021,0,0,0
31-2022,.10526316,.10526316,0
31-9011,0,0,0
31-9091,.125,.125,0
31-9092,.125,.125,0
31-9093,.0625,.0625,0
31-9094,.60000002,.60000002,0
31-9095,.5,.11764706,.38235295
31-9096,.14285715,.14285715,0
31-9097,.083333336,.083333336,0
31-9099,.22159091,.19886364,.022727273
33-1011,.13043478,.13043478,0
33-1012,.22499999,.22499999,0
33-1021,.16666667,.16666667,0
33-1099,.38095239,.38095239,0
33-2011,.033333335,.033333335,0
33-2021,.28333333,.21666667,.06666667
33-2022,.21875,.21875,0
33-3011,0,0,0
33-3012,.13461539,.11538462,.01923077
33-3021,.28888887,.24444444,.044444446
33-3031,.0625,.041666668,.020833334
33-3041,.15217391,.13043478,.021739131
33-3051,.18030304,.15757576,.022727273
33-3052,.10714286,.10714286,0
33-9011,.0625,.0625,0
33-9021,.29411766,.23529412,.05882353
33-9031,0,0,0
33-9032,.17857143,.14285715,.035714287
33-9091,0,0,0
33-9092,0,0,0
33-9093,.13461539,.13461539,0
33-9099,.12712507,.096452422,.030672647
35-1011,.14285715,.14285715,0
35-1012,.30769232,.21153846,.096153848
35-2011,0,0,0
35-2012,.088235296,0,.088235296
35-2013,.07692308,.07692308,0
35-2014,.075000003,.025,.050000001
35-2015,0,0,0
35-2019,,,
35-2021,.064516127,.032258064,.032258064
35-3011,0,0,0
35-3021,.017857144,.017857144,0
35-3022,.017857144,.017857144,0
35-3031,.14,.14,0
35-3041,0,0,0
35-9011,0,0,0
35-9021,0,0,0
35-9031,.36363637,.31818181,.045454547
35-9099,,,
37-1011,.23076923,.23076923,0
37-1012,.14285715,.14285715,0
37-2011,.043478262,.043478262,0
37-2012,0,0,0
37-2019,,,
37-2021,.06666667,.06666667,0
37-3011,0,0,0
37-3012,.050000001,.050000001,0
37-3013,.03846154,.01923077,.01923077
37-3019,,,
39-1011,.18333334,.11666667,.06666667
39-1012,.18333334,.11666667,.06666667
39-1021,.23376839,.21718235,.016586032
39-2011,.052631579,.052631579,0
39-2021,.045454547,.045454547,0
39-3011,.071428575,.071428575,0
39-3012,.13636364,.045454547,.090909094
39-3019,,,
39-3021,.045454547,0,.045454547
39-3031,0,0,0
39-3091,.15789473,.10526316,.052631579
39-3092,.071428575,.071428575,0
39-3093,.086956523,.043478262,.043478262
39-3099,,,
39-4011,.03846154,.03846154,0
39-4021,.15384616,.03846154,.11538462
39-4031,.11363637,.11363637,0
39-5011,.125,.075000003,.050000001
39-5012,.043478262,.043478262,0
39-5091,0,0,0
39-5092,.055555556,.055555556,0
39-5093,0,0,0
39-5094,.11111111,.11111111,0
39-6011,.05882353,0,.05882353
39-6012,.1875,.1875,0
39-7011,.18421052,.02631579,.15789473
39-7012,.088235296,.05882353,.029411765
39-9011,.059999999,.059999999,0
39-9021,.090909094,0,.090909094
39-9031,.090909094,.090909094,0
39-9032,.14583333,.10416666,.041666668
39-9041,.06666667,.033333335,.033333335
39-9099,.083333336,.083333336,0
41-1011,.21428572,.16666667,.047619049
41-1012,.41666666,.19444445,.22222222
41-2011,.1724138,.10344828,.068965517
41-2012,.2,.13333334,.06666667
41-2021,.3125,.3125,0
41-2022,.21052632,.21052632,0
41-2031,.20833333,.083333336,.125
41-3011,.60000002,.55000001,.050000001
41-3021,.15789473,.15789473,0
41-3031,.53333336,.44999999,.083333336
41-3041,.625,.625,0
41-3099,.73333335,.73333335,0
41-4011,.5101496,.41292736,.097222224
41-4012,.5,.31578946,.18421052
41-9011,.20833333,.041666668,.16666667
41-9012,.14285715,0,.14285715
41-9021,.2631579,.18421052,.078947365
41-9022,.28787878,.18181819,.10606061
41-9031,.41999999,.31999999,.1
41-9041,.95833331,.5,.45833334
41-9091,.16666667,.16666667,0
41-9099,,,
43-1011,.62068963,.51724136,.10344828
43-2011,.5,.2631579,.23684211
43-2021,.40625,.09375,.3125
43-2099,,,
43-3011,.83333331,.69999999,.13333334
43-3021,.58333331,.38333333,.2
43-3031,.86666667,.33333334,.53333336
43-3041,.05882353,0,.05882353
43-3051,.77272725,.56818181,.20454545
43-3061,.52631581,.5,.02631579
43-3071,.37931034,.22413793,.15517241
43-3099,,,
43-4011,.30000001,.2,.1
43-4021,.73809522,.2857143,.45238096
43-4031,.56666666,.53333336,.033333335
43-4041,.5625,.40625,.15625
43-4051,.56666666,.33333334,.23333333
43-4061,.47058824,.20588236,.2647059
43-4071,.55263156,.44736841,.10526316
43-4081,.375,.375,0
43-4111,.61764705,.47058824,.14705883
43-4121,.30303031,.27272728,.030303031
43-4131,.47222221,.44444445,.027777778
43-4141,.40000001,.26666668,.13333334
43-4151,.52631581,.44736841,.078947365
43-4161,.5,.28947368,.21052632
43-4171,.42105263,.2631579,.15789473
43-4181,.30952382,.14285715,.16666667
43-4199,,,
43-5011,.42137098,.31619623,.10517473
43-5021,.20588236,.20588236,0
43-5031,.30555555,.30555555,0
43-5032,.30769232,.26923078,.03846154
43-5041,.07692308,.07692308,0
43-5051,.2857143,.095238097,.19047619
43-5052,.22727273,.13636364,.090909094
43-5053,.2647059,.05882353,.20588236
43-5061,.7647059,.32352942,.44117647
43-5071,.54545456,.5,.045454547
43-5081,.083333336,.06666667,.016666668
43-5111,.52272725,.13636364,.38636363
43-6011,.77272725,.59090906,.18181819
43-6012,.64285713,.42857143,.21428572
43-6013,.75,.53125,.21875
43-6014,.765625,.484375,.28125
43-9011,.57858592,.57266748,.0059184693
43-9021,.72222221,.44444445,.27777779
43-9022,.85000002,.69999999,.15000001
43-9031,.52777779,.47222221,.055555556
43-9041,.6111111,.4074074,.2037037
43-9051,.27586207,0,.27586207
43-9061,.73809522,.5,.23809524
43-9071,.27777779,.27777779,0
43-9081,.95454544,.81818181,.13636364
43-9111,.8214286,.64285713,.17857143
43-9199,,,
45-1011,.033333335,.033333335,0
45-2011,.34090909,.045454547,.29545453
45-2021,.041666668,0,.041666668
45-2041,.16666667,0,.16666667
45-2091,0,0,0
45-2092,.016666668,.016666668,0
45-2093,0,0,0
45-2099,,,
45-3011,0,0,0
45-3021,0,0,0
45-4011,.023809524,0,.023809524
45-4021,0,0,0
45-4022,0,0,0
45-4023,0,0,0
45-4029,,,
47-1011,.16666667,.16666667,0
47-2011,0,0,0
47-2021,0,0,0
47-2022,0,0,0
47-2031,0,0,0
47-2041,0,0,0
47-2042,0,0,0
47-2043,0,0,0
47-2044,0,0,0
47-2051,0,0,0
47-2053,0,0,0
47-2061,.03125,0,.03125
47-2071,0,0,0
47-2072,0,0,0
47-2073,.053571429,0,.053571429
47-2081,.03846154,.03846154,0
47-2082,0,0,0
47-2111,.047619049,.047619049,0
47-2121,0,0,0
47-2131,.050000001,.050000001,0
47-2132,0,0,0
47-2141,.02631579,.02631579,0
47-2142,0,0,0
47-2151,0,0,0
47-2152,.033333335,.033333335,0
47-2161,0,0,0
47-2171,0,0,0
47-2181,.017857144,.017857144,0
47-2211,.0625,.020833334,.041666668
47-2221,0,0,0
47-2231,.03846154,.03846154,0
47-3011,0,0,0
47-3012,0,0,0
47-3013,.020833334,0,.020833334
47-3014,0,0,0
47-3015,0,0,0
47-3016,0,0,0
47-3019,,,
47-4011,.22994988,.21679199,.013157895
47-4021,.050000001,.050000001,0
47-4031,0,0,0
47-4041,0,0,0
47-4051,0,0,0
47-4061,0,0,0
47-4071,.045454547,.045454547,0
47-4091,.083333336,.083333336,0
47-4099,.22499999,.22499999,0
47-5011,0,0,0
47-5012,0,0,0
47-5013,.10526316,.052631579,.052631579
47-5021,.01877676,.004220183,.014556576
47-5031,.033333335,.033333335,0
47-5041,.033333335,0,.033333335
47-5042,,,
47-5049,,,
47-5051,0,0,0
47-5061,0,0,0
47-5071,0,0,0
47-5081,0,0,0
47-5099,,,
49-1011,.27272728,.15909091,.11363637
49-2011,.28,.28,0
49-2021,.1,.083333336,.016666668
49-2022,.2,.087499999,.1125
49-2091,.15384616,.11538462,.03846154
49-2092,.03846154,.025641026,.012820513
49-2093,.2,.16666667,.033333335
49-2094,.15000001,.1,.050000001
49-2095,.1875,.1875,0
49-2096,.125,.125,0
49-2097,.13636364,.13636364,0
49-2098,.15625,.09375,.0625
49-3011,0,0,0
49-3021,0,0,0
49-3022,0,0,0
49-3023,.1,.083333336,.016666668
49-3031,.01923077,.01923077,0
49-3041,.071428575,.071428575,0
49-3042,.075000003,.075000003,0
49-3043,0,0,0
49-3051,0,0,0
49-3052,0,0,0
49-3053,.035714287,.035714287,0
49-3091,0,0,0
49-3092,.05882353,.05882353,0
49-3093,0,0,0
49-9011,.02,0,.02
49-9012,.03846154,.025641026,.012820513
49-9021,.033333335,.033333335,0
49-9031,.064516127,.064516127,0
49-9041,.1875,.1875,0
49-9043,.11111111,.11111111,0
49-9044,.021739131,.021739131,0
49-9045,0,0,0
49-9051,0,0,0
49-9052,0,0,0
49-9061,0,0,0
49-9062,.13157895,.13157895,0
49-9063,0,0,0
49-9064,0,0,0
49-9069,,,
49-9071,.13333334,.13333334,0
49-9081,.03846154,.03846154,0
49-9091,.15789473,.052631579,.10526316
49-9092,0,0,0
49-9093,.16666667,.083333336,.083333336
49-9094,.071428575,.071428575,0
49-9095,.035714287,.035714287,0
49-9096,0,0,0
49-9097,.035714287,.035714287,0
49-9098,0,0,0
49-9099,.16666667,.083333336,.083333336
51-1011,.44999999,.44999999,0
51-2011,.050000001,.033333335,.016666668
51-2021,.090909094,.090909094,0
51-2022,.17647059,.11764706,.05882353
51-2023,.10714286,.071428575,.035714287
51-2031,.083333336,.083333336,0
51-2041,0,0,0
51-2091,0,0,0
51-2092,.090909094,0,.090909094
51-2093,.05882353,0,.05882353
51-2099,,,
51-3011,.083333336,.055555556,.027777778
51-3021,.125,.041666668,.083333336
51-3022,0,0,0
51-3023,0,0,0
51-3091,.050000001,.050000001,0
51-3092,.14,.12,.02
51-3093,0,0,0
51-3099,,,
51-4011,.22222222,.18518518,.037037037
51-4012,.46875,.375,.09375
51-4021,.03125,0,.03125
51-4022,0,0,0
51-4023,.10526316,.10526316,0
51-4031,.03125,.03125,0
51-4032,.029411765,.029411765,0
51-4033,.11111111,.055555556,.055555556
51-4034,0,0,0
51-4035,0,0,0
51-4041,.086206898,.086206898,0
51-4051,0,0,0
51-4052,0,0,0
51-4061,.09375,.09375,0
51-4062,.13333334,0,.13333334
51-4071,0,0,0
51-4072,0,0,0
51-4081,.11904762,.095238097,.023809524
51-4111,.11764706,.05882353,.05882353
51-4121,.016666668,.016666668,0
51-4122,.05172414,0,.05172414
51-4191,.03846154,.03846154,0
51-4192,.035714287,0,.035714287
51-4193,.052631579,.02631579,.02631579
51-4194,0,0,0
51-4199,,,
51-5111,.22,.2,.02
51-5112,.19565217,.065217391,.13043478
51-5113,0,0,0
51-6011,0,0,0
51-6021,.017857144,.017857144,0
51-6031,0,0,0
51-6041,0,0,0
51-6042,0,0,0
51-6051,0,0,0
51-6052,0,0,0
51-6061,.041666668,0,.041666668
51-6062,.11111111,.055555556,.055555556
51-6063,.15000001,.050000001,.1
51-6064,0,0,0
51-6091,.095238097,.047619049,.047619049
51-6092,.1875,.1875,0
51-6093,.022727273,0,.022727273
51-6099,,,
51-7011,.175,.075000003,.1
51-7021,0,0,0
51-7031,0,0,0
51-7032,.1,.1,0
51-7041,0,0,0
51-7042,.07692308,.057692308,.01923077
51-7099,,,
51-8011,.075000003,.075000003,0
51-8012,.1,.06666667,.033333335
51-8013,.12936509,.11825397,.011111111
51-8021,.079999998,.079999998,0
51-8031,.125,.125,0
51-8091,.15789473,.10526316,.052631579
51-8092,.10526316,.078947365,.02631579
51-8093,.16666667,.10416666,.0625
51-8099,.10526316,.10526316,0
51-9011,.13043478,.13043478,0
51-9012,.095238097,.095238097,0
51-9021,.090909094,.090909094,0
51-9022,0,0,0
51-9023,.10526316,.10526316,0
51-9031,0,0,0
51-9032,.10714286,.071428575,.035714287
51-9041,.053571429,.035714287,.017857144
51-9051,.11111111,.11111111,0
51-9061,.5,.265625,.234375
51-9071,.031060606,.031060606,0
51-9081,0,0,0
51-9082,0,0,0
51-9083,0,0,0
51-9111,0,0,0
51-9121,0,0,0
51-9122,0,0,0
51-9123,0,0,0
51-9141,.14583333,.083333336,.0625
51-9151,.0625,.03125,.03125
51-9191,.05882353,.05882353,0
51-9192,.090909094,.090909094,0
51-9193,.052631579,.052631579,0
51-9194,.033333335,0,.033333335
51-9195,.0065789474,0,.0065789474
51-9196,0,0,0
51-9197,0,0,0
51-9198,.029411765,0,.029411765
51-9199,.25594127,.21114726,.044794001
53-1011,.16666667,0,.16666667
53-1021,.23505434,.12635869,.10869565
53-1031,.32376423,.30356231,.020201895
53-2011,.13461539,.096153848,.03846154
53-2012,.057692308,.03846154,.01923077
53-2021,.10869565,.086956523,.021739131
53-2022,.16666667,.055555556,.11111111
53-2031,.1,.1,0
53-3011,0,0,0
53-3021,0,0,0
53-3022,.15730707,.15730707,0
53-3031,.083333336,0,.083333336
53-3032,.17741935,.17741935,0
53-3033,.071428575,.071428575,0
53-3041,.079192206,.079192206,0
53-3099,,,
53-4011,.06666667,.06666667,0
53-4012,.071428575,.035714287,.035714287
53-4013,.12,.12,0
53-4021,.071428575,.035714287,.035714287
53-4031,.18181819,.13636364,.045454547
53-4041,.16666667,.16666667,0
53-4099,,,
53-5011,.035714287,0,.035714287
53-5021,.13333334,.13333334,0
53-5022,0,0,0
53-5031,.23529412,.23529412,0
53-6011,.16666667,.16666667,0
53-6021,0,0,0
53-6031,0,0,0
53-6041,.3125,.083333336,.22916667
53-6051,.22539683,.092063494,.13333334
53-6061,.14285715,.071428575,.071428575
53-6099,.11111111,.11111111,0
53-7011,.086956523,0,.086956523
53-7021,0,0,0
53-7031,0,0,0
53-7032,0,0,0
53-7033,.071428575,0,.071428575
53-7041,0,0,0
53-7051,0,0,0
53-7061,0,0,0
53-7062,.075396828,.023809524,.051587302
53-7063,.07692308,.07692308,0
53-7064,.083333336,.083333336,0
53-7071,.1923077,.1923077,0
53-7072,.071428575,.071428575,0
53-7073,0,0,0
53-7081,.03125,0,.03125
53-7111,.071428575,0,.071428575
53-7121,.10526316,.10526316,0
53-7199,,,
55-1011,,,
55-1012,,,
55-1013,,,
55-1014,,,
55-1015,,,
55-1016,,,
55-1017,,,
55-1019,,,
55-2011,,,
55-2012,,,
55-2013,,,
55-3011,,,
55-3012,,,
55-3013,,,
55-3014,,,
55-3015,,,
55-3016,,,
55-3017,.17812499,.1125,.065624997
55-3018,,,
55-3019,,,
