comparison_key,raw_naics_examples,raw_title_examples,source_row_count,metric_value,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
3359,3359,Other Electrical Equipment and Component Manufacturing,1,-0.0384073,Other electrical equipment and component manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.0407653519562402,0.5365853658536586
3361,3361,Motor Vehicle Manufacturing,1,-0.3023474,Motor vehicle manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.30367251235466114,0.44308943089430897
3362,3362,Motor Vehicle Body and Trailer Manufacturing,1,-0.8058288,Motor vehicle body and trailer manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.8051835187815798,0.24390243902439024
3363,3363,Motor Vehicle Parts Manufacturing,1,-0.5860924,Motor vehicle parts manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.5863070655250583,0.35772357723577236
3364,3364,Aerospace Product and Parts Manufacturing,1,0.5189539,Aerospace product and parts manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.5144145938278841,0.7032520325203252
3365,3365,Railroad Rolling Stock Manufacturing,1,-0.6623871,Railroad rolling stock manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.6623031833201544,0.3333333333333333
3366,3366,Ship and Boat Building,1,-0.6675431,Ship and boat building,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.6674390051184117,0.32113821138211385
3369,3369,Other Transportation Equipment Manufacturing,1,-0.1676746,Other transportation equipment manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.16952675947018297,0.47560975609756095
3370,3370,Furniture and Related Product Manufacturing (3371 and 3372 only),1,-1.000794,Furniture and Related Product Manufacturing (3371 and 3372 only),felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.9993857150697155,0.17073170731707318
3379,3379,Other Furniture Related Product Manufacturing,1,-0.5724769,Other furniture related product manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.5727448503012075,0.3617886178861789
3391,3391,Medical Equipment and Supplies Manufacturing,1,0.2301883,Medical equipment and supplies manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.22677908896618923,0.6300813008130082
3399,3399,Other Miscellaneous Manufacturing,1,-0.068744,Other miscellaneous manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.0709833281290869,0.5203252032520326
4230,4230,"Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)",1,0.2424777,"Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)",felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.23902039393273408,0.6341463414634146
4231,4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,1,-0.1601646,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.1620461501402928,0.483739837398374
4234,4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,1,1.041147,Professional and commercial equipment and supplies merchant wholesalers,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,1.0345640713064814,0.8211382113821138
4238,4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",1,0.2607571,"Machinery, equipment, and supplies merchant wholesalers",felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.2572282568068745,0.6463414634146342
4240,4240,"Merchant Wholesalers, Nondurable Goods (4244 and 4248 only) | Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only) | Merchant Wholesalers, Nondurable Goods (4242 and 4246 only)",3,0.1075371666666666,"Merchant Wholesalers, Nondurable Goods (4244 and 4248 only) | Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only) | Merchant Wholesalers, Nondurable Goods (4242 and 4246 only)",felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.10460795549948675,0.5894308943089431
4243,4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers",1,0.6573116,"Apparel, piece goods, and notions merchant wholesalers",felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.6522308257163187,0.7439024390243902
