comparison_key,raw_code_examples,raw_title_examples,source_row_count,metric_value,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
25-40,25-4011.00 | 25-4012.00 | 25-4013.00 | 25-4021.00 | 25-4031.00,Archivists | Curators | Museum Technicians and Conservators | Librarians | Library Technicians,5,0.2192249931999999,Library technicians and assistants,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.9792002846020186,0.18518518518518517
25-90,25-9011.00 | 25-9021.00 | 25-9031.00 | 25-9031.01 | 25-9041.00,Audio-Visual and Multimedia Collections Specialists | Farm and Home Management Advisors | Instructional Coordinators | Instructional Designers and Technologists | Teacher Assistants,5,0.33227755,Teacher assistants,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.39375494027370694,0.3611111111111111
27-10,27-1011.00 | 27-1012.00 | 27-1013.00 | 27-1014.00 | 27-1021.00,"Art Directors | Craft Artists | Fine Artists, Including Painters, Sculptors, and Illustrators | Multimedia Artists and Animators | Commercial and Industrial Designers",11,0.4637775063636363,Graphic designers,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.2872206998320016,0.6481481481481481
27-20,27-2011.00 | 27-2012.01 | 27-2012.02 | 27-2012.03 | 27-2012.04,"Actors | Producers | Directors- Stage, Motion Pictures, Television, and Radio | Program Directors | Talent Directors",15,0.3002113129333333,Coaches and scouts,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.5598107087780768,0.2962962962962963
27-30,27-3011.00 | 27-3012.00 | 27-3021.00 | 27-3022.00 | 27-3031.00,Radio and Television Announcers | Public Address System and Other Announcers | Broadcast News Analysts | Reporters and Correspondents | Public Relations Specialists,10,0.1841147896,Public relations specialists,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.1610193059303275,0.12962962962962962
27-40,27-4011.00 | 27-4012.00 | 27-4013.00 | 27-4014.00 | 27-4021.00,Audio and Video Equipment Technicians | Broadcast Technicians | Radio Operators | Sound Engineering Technicians | Photographers,7,0.5419632314285714,Photographers,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.6921073298016089,0.8055555555555556
29-10,29-1011.00 | 29-1021.00 | 29-1022.00 | 29-1023.00 | 29-1024.00,"Chiropractors | Dentists, General | Oral and Maxillofacial Surgeons | Orthodontists | Prosthodontists",30,0.3863797074666666,Pharmacists,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.11358563580577681,0.4722222222222222
29-11,29-1122.00 | 29-1122.01 | 29-1123.00 | 29-1124.00 | 29-1125.00,"Occupational Therapists | Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists | Physical Therapists | Radiation Therapists | Recreational Therapists",23,0.4871506369565218,Registered nurses,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.4082590104664978,0.6851851851851852
29-20,29-2011.00 | 29-2011.01 | 29-2011.02 | 29-2011.03 | 29-2012.00,Medical and Clinical Laboratory Technologists | Cytogenetic Technologists | Cytotechnologists | Histotechnologists and Histologic Technicians | Medical and Clinical Laboratory Technicians,28,0.45789311375,Licensed practical and licensed vocational nurses,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.25674823324331797,0.6296296296296297
29-90,29-9011.00 | 29-9012.00 | 29-9091.00 | 29-9092.00 | 29-9099.01,Occupational Health and Safety Specialists | Occupational Health and Safety Technicians | Athletic Trainers | Genetic Counselors | Midwives,5,0.36317001,Surgical assistants and technologists,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.23377760412337065,0.42592592592592593
