comparison_key,raw_code_examples,raw_title_examples,source_row_count,metric_value,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
biological-technicians,19-4021,Biological Technicians,1,0.091298716107831,Biological technicians,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.895010860003944,0.21994134897360704
biomedical-engineers,17-2031,Bioengineers and Biomedical Engineers,1,0.2982329801834177,Bioengineers and biomedical engineers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,1.3463549327511812,0.8826979472140762
boilermakers,47-2011,Boilermakers,1,0.0411040562320653,Boilermakers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-1.4386839637651705,0.04105571847507331
bookkeeping-accounting-and-auditing-clerks,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1,0.2441173301557708,"Bookkeeping, accounting, and auditing clerks",microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.7602124330230012,0.7888563049853372
brickmasons-blockmasons-and-stonemasons,47-2021 | 47-2022 | 47-2051 | 47-2053,Brickmasons and Blockmasons | Stonemasons | Cement Masons and Concrete Finishers | Terrazzo Workers and Finishers,4,0.0550943640207253,Masonry workers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-1.2871508310203474,0.08504398826979472
broadcast-and-sound-engineering-technicians,27-4011 | 27-4012 | 27-4014 | 27-4015,Audio and Video Technicians | Broadcast Technicians | Sound Engineering Technicians | Lighting Technicians,4,0.1479121844901375,"Broadcast, sound, and video technicians",microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.2818137560435479,0.41642228739002934
budget-analysts,13-2031,Budget Analysts,1,0.2340858486198604,Budget analysts,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.6515585101664585,0.7478005865102639
bus-drivers,53-3051 | 53-3052,"Bus Drivers, School | Bus Drivers, Transit and Intercity",2,0.1649878273404519,Bus drivers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.09686245305382907,0.5043988269794721
butchers-and-meat-cutters,51-3021,Butchers and Meat Cutters,1,0.1943090249316365,Butchers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.22072404996961323,0.6363636363636364
calibration-technologists-and-technicians,17-3028,Calibration Technologists and Technicians,1,0.262448180846388,Calibration technologists and technicians,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.9587592607974654,0.844574780058651
cardiovascular-technologists-and-technicians,29-2031,Cardiovascular Technologists and Technicians,1,0.089016734039033,Cardiovascular technologists and technicians,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.9197276780308328,0.20527859237536658
career-and-technical-education-teachers,25-1194 | 25-2023 | 25-2032,"Career/Technical Education Teachers, Postsecondary | Career/Technical Education Teachers, Middle School | Career/Technical Education Teachers, Secondary School",3,0.1821801812680879,Career and technical education teachers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.0893529818935085,0.6011730205278593
carpenters,47-2031,Carpenters,1,0.0557378988724583,Carpenters,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-1.2801805160289488,0.093841642228739
cartographers-and-photogrammetrists,17-1021,Cartographers and Photogrammetrists,1,0.1761280646528152,Cartographers and photogrammetrists,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.023800729269543238,0.5601173020527859
cashiers,41-2011,Cashiers,1,0.2978434241004641,Cashiers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,1.3421355364004013,0.8797653958944281
chefs-and-head-cooks,35-1011,Chefs and Head Cooks,1,0.1512295711047082,Chefs and head cooks,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.24588216727327758,0.4340175953079179
chemical-engineers,17-2041,Chemical Engineers,1,0.1718972538907844,Chemical engineers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.02202442472318708,0.5425219941348973
chemical-technicians,19-4031,Chemical Technicians,1,0.1397871985751076,Chemical technicians,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.3698178648745207,0.39296187683284456
chemists-and-materials-scientists,19-2031 | 19-2032,Chemists | Materials Scientists,2,0.2414973614211685,Chemists and materials scientists,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.7318347821489026,0.7771260997067448
childcare-workers,39-9011,Childcare Workers,1,0.1603879086287594,Childcare workers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.14668552365984439,0.4780058651026393
chiropractors,29-1011,Chiropractors,1,0.1112686242547227,Chiropractors,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.6787109195138783,0.2727272727272727
