comparison_key,raw_code_examples,raw_title_examples,source_row_count,metric_value,pca_weighted_score,z_score_variance,aioe,dv_rating_beta,human_rating_beta,genai_total,genai_core,ai_applicability_score,pca_standardized,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
bus-drivers,53-3051 | 53-3052,"Bus Drivers, School | Bus Drivers, Transit and Intercity",2,-0.504759511058256,-1.101555163416355,0.2942367706904515,-0.30024270610917303,-0.20087885940343014,-0.554624458987448,-0.987319524410207,-0.903788398328964,0.34640489706233196,-0.504759511058256,Bus drivers,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-0.7931843216003855,0.2694610778443114
butchers-and-meat-cutters,51-3021,Butchers and Meat Cutters,1,-0.765061634715302,-1.66299788738746,0.285670097269472,-0.955924972034976,-0.880911910562115,-1.26004491995676,-0.428407443048298,-0.688563874186218,0.276781473969765,-0.765061634715302,Butchers,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-1.065354970416471,0.17964071856287425
calibration-technologists-and-technicians,17-3028,Calibration Technologists and Technicians,1,-0.153015896248505,-0.342883315243438,0.542820776765185,-0.0032166308960171,0.331494311416076,-0.0927807966192623,-0.987319524410207,-0.903788398328964,0.942693973259152,-0.153015896248505,Calibration technologists and technicians,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-0.42540288933739995,0.3772455089820359
cardiovascular-technologists-and-technicians,29-2031,Cardiovascular Technologists and Technicians,1,-0.437922341415571,-0.957394823656137,0.124597925885618,-0.0924565679627493,0.137916847402751,-0.555304641111701,-0.450763926302774,-0.697172866929013,-0.752222358597808,-0.437922341415571,Cardiovascular technologists and technicians,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-0.7232996984128792,0.281437125748503
career-and-technical-education-teachers,25-1194 | 25-2023 | 25-2032,"Career/Technical Education Teachers, Postsecondary | Career/Technical Education Teachers, Middle School | Career/Technical Education Teachers, Secondary School",3,0.3829152051389159,0.8130604519315874,0.0511136460955009,0.34202039590838895,0.2458156911892427,0.4264777758617863,0.189947084388843,0.45622856682122986,0.3390783716837264,0.38291520513891597,Career and technical education teachers,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,0.13496409321366737,0.5179640718562875
carpenters,47-2031,Carpenters,1,-1.13390150336233,-2.45854445325093,0.0278974982725025,-1.30192254505412,-0.822800936959674,-0.956158639671816,-0.987319524410207,-0.903788398328964,-1.07745081207232,-1.13390150336233,Carpenters,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-1.4510121634832633,0.07784431137724551
cartographers-and-photogrammetrists,17-1021,Cartographers and Photogrammetrists,1,0.719801371216669,1.53968643597493,0.0775119333040218,0.79839696981086,0.873511210653385,0.84614260770039,0.609572194111919,0.387558705204404,0.188453111807733,0.719801371216669,Cartographers and photogrammetrists,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,0.4872106485254863,0.655688622754491
cashiers,41-2011,Cashiers,1,0.0811972351473715,0.162288354634878,0.635474775384609,-0.246633751186887,-0.529850373418407,0.362751408363407,-0.216406277902079,-0.369437851354928,1.60698156368845,0.0811972351473715,Cashiers,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-0.18051076537897412,0.4311377245508982
chefs-and-head-cooks,35-1011,Chefs and Head Cooks,1,-0.23895815230428,-0.528251201091918,0.0108941384554839,-0.265820132591763,-0.292255294849081,-0.115906988843884,-0.348562828058763,-0.165875730842836,-0.0890066582467986,-0.23895815230428,Chefs and head cooks,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-0.5152636990103804,0.344311377245509
chemical-engineers,17-2041,Chemical Engineers,1,0.758700072081311,1.62358660653656,0.151205523296225,1.31286163652396,0.609451695640337,0.293248719745581,0.560437070502264,0.884230739622616,0.295928680973198,0.758700072081311,Chemical engineers,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,0.5278829431026184,0.6766467065868264
chemical-technicians,19-4031,Chemical Technicians,1,0.231712457270543,0.486932945008205,0.0442362451712779,0.0584064201814898,0.299231400747188,0.52006329733322,0.130504638313611,0.226140317262733,-0.0895515820900987,0.231712457270543,Chemical technicians,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-0.023132772889238512,0.49101796407185627
chemists-and-materials-scientists,19-2031 | 19-2032,Chemists | Materials Scientists,2,0.813680839047753,1.742174004664475,0.037979981503823604,0.7492827043169761,0.47322861552698103,0.8394439865042915,0.624926895088892,0.7786879077731514,0.8307669189014619,0.813680839047753,Chemists and materials scientists,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,0.5853705686641298,0.7035928143712575
childcare-workers,39-9011,Childcare Workers,1,-0.418627034606808,-0.915776993335079,0.198145396686813,-0.379475006383779,-0.836411164290031,0.265540232723475,-0.719041729827787,-0.593865098646344,0.0742987471323869,-0.418627034606808,Childcare workers,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-0.7031246183963766,0.2904191616766467
chiropractors,29-1011,Chiropractors,1,-0.159287500131735,-0.356410467148306,0.199830468998338,-0.190792438917871,0.577865629251216,0.157402555628921,-0.580837996872083,-0.434207617441993,-0.477401604778085,-0.159287500131735,Chiropractors,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-0.43196044820028934,0.37425149700598803
