comparison_key,raw_naics_examples,source_row_count,comparison_title,covered_employment_2024,occupation_count,karpathy_score,variant,comparison_level,source_file,karpathy_zscore,karpathy_percentile
3343,334300,1,Audio and video equipment manufacturing,8800,33,7.1955,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.427162491607275,0.8870967741935484
3344,334400,1,Semiconductor and other electronic component manufacturing,242700,84,6.3092,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.8211914798043025,0.7849462365591398
3345,334500,1,"Navigational, measuring, electromedical, and control instruments manufacturing",250900,98,6.862,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.1991456435464702,0.8387096774193549
3346,334600,1,Manufacturing and reproducing magnetic and optical media,4900,27,7.6469,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.7357885941999203,0.946236559139785
3351,335100,1,Electric lighting equipment manufacturing,15000,45,6.4293,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.9033048934537856,0.7956989247311828
3352,335200,1,Household appliance manufacturing,17100,43,5.6696,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.3838914017842405,0.6881720430107527
3353,335300,1,Electrical equipment manufacturing,64800,62,5.9648,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.5857222070242695,0.7365591397849462
3359,335900,1,Other electrical equipment and component manufacturing,67000,65,5.7742,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.45540733074124284,0.7043010752688172
3361,336100,1,Motor vehicle manufacturing,89500,80,5.3764,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.18342801392388702,0.6290322580645161
3362,336200,1,Motor vehicle body and trailer manufacturing,70400,64,3.9707,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.7776612913806807,0.23655913978494625
3363,336300,1,Motor vehicle parts manufacturing,187500,87,5.2169,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.07437647789480621,0.5806451612903226
3364,336400,1,Aerospace product and parts manufacturing,346100,105,5.9504,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.5758768018906094,0.7258064516129032
3365,336500,1,Railroad rolling stock manufacturing,12200,35,4.709,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.27287916567365794,0.44086021505376344
3366,336600,1,Ship and boat building,78700,73,4.1859,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.6305271813276515,0.2849462365591398
3369,336900,1,Other transportation equipment manufacturing,16900,47,5.1763,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.04661790508740421,0.5698924731182796
3379,337900,1,Other furniture related product manufacturing,5600,23,6.2232,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.7623925324782782,0.7688172043010753
3391,339100,1,Medical equipment and supplies manufacturing,180000,92,5.8823,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.5293162401126758,0.7204301075268817
3399,339900,1,Other miscellaneous manufacturing,113300,87,6.2803,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.8014322986679994,0.7795698924731183
4231,423100,1,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,192600,82,5.3178,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.14336268469940966,0.6021505376344086
4234,423400,1,Professional and commercial equipment and supplies merchant wholesalers,494700,114,6.9545,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.2623886973564389,0.8548387096774194
4238,423800,1,"Machinery, equipment, and supplies merchant wholesalers",497900,97,5.347,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.16332697844266475,0.6129032258064516
4243,424300,1,"Apparel, piece goods, and notions merchant wholesalers",63600,50,7.1281,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.3810805259122276,0.8763440860215054
4245,424500,1,Farm product raw material merchant wholesalers,32300,47,5.4282,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.21884412405746934,0.6397849462365591
4411,441100,1,Automobile dealers,723100,70,4.6249,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.3303790664889909,0.40860215053763443
4412,441200,1,Other motor vehicle dealers,79400,46,4.7139,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.26952899309345413,0.44623655913978494
4413,441300,1,"Automotive parts, accessories, and tire retailers",242000,48,4.6446,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.31691000529919267,0.41397849462365593
4441,444100,1,Building material and supplies dealers,332500,66,6.4783,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.9368066192558231,0.8010752688172043
